,url,address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),reviews_list,menu_item,listed_in(type),listed_in(city)
8440,https://www.zomato.com/bangalore/kalingas-btm?context=eyJzZSI6eyJlIjpbIjE4NzY5Njc1IiwiMTg4MDE0MTUiLCI1MzAxNSIsIjE4Nzk3OTMyIiw1ODgyOCwiMTg4NDgyOTUiLCI2MTM4MSIsIjE4NzE0NTMzIiwiNTE4MjgiLCIxODkxOTQzNiIsIjE4MzQ2MzQxIiwiMTgyNTQ1NjgiLCIxODI5ODIzOCIsIjUwMDMxIiwiMTg1MjI3MDQiLCIxODcxODM4NyIsIjE4NDc2NDUxIiwiNjAxMjQiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJUTSJ9fQ==,"399, 16th Main, N.S Palya, BTM, Bangalore",Kalingas,Yes,No,3.9/5,179,080 42038180,BTM,Quick Bites,"Rasgulla, Mutton Kosha, Chicken Kasha, Samosa Chaat, Kheer, Veg Thali","Oriya, Fast Food",250,"[('Rated 3.0', 'RATED\n  A pocket friendly food joint in the locality to have odia cuisine.\n\nBut it is very small and congested. No proper sitting arrangements. Only 3/4 chairs are there and a wall mounted table. And it will be very crowded always by zomato boys to collect food orders.\n\nThey have sweets, snacks and other odia cuisines as well. Chicken kassa and dahi baigan was tasty. But dint like the fish fry. It was completely deep fried and not even fresh. Food quality could have been better.\n\nBut their sweets are finger licking and really worth having. Must try!'), ('Rated 3.0', 'RATED\n  Good veg chop but aloor chop was more of a garlic chop and not at all good in taste and sweets are also ok. Need to try more options there. But veg cutlet or chop is a must for a bong there. It?s an Oriya outlet in btm but bong can saviour there taste buds well'), ('Rated 4.0', 'RATED\n  Very nice place to try out typical north indian snacks and food. I have tried chats and sweets here. those are awesome. thali is also nice. specially the quality of roti.'), ('Rated 5.0', 'RATED\n  I ordered amlet ?it was to good and tasty paking was nice..... I will come regularly to there ?and oil has observed limited....\nSimply it was amazing place to eat this.. ?'), ('Rated 4.0', 'RATED\n  kalingas.... its the best place for blissful taste of odia cuisine... gives a feel that you are landed up in odisha... specially the spicy dahivara aloodum and vada ghuguni perfect place for weekend breakfast.')]",[],Delivery,BTM
23575,https://www.zomato.com/bangalore/angel-restaurant-bannerghatta-road?context=eyJzZSI6eyJlIjpbIjE4ODgzNjIwIiwiMTg2MjI0MTYiLCIxODcyNzQxOCIsIjU4NjA0IiwxODYwNDY4OCwiMTg2NDM3OTYiLCIxODY5MzMxNCIsIjE4NjU0Mzc2IiwiMTg2NjIyNzEiLCIxODY1NDY5NSIsIjE4NjYzNjk4IiwiMTg2NTE4NDUiLCIxODk2MzUxMCIsIjE4OTY1MjEzIiwiMTg5NjI3OTkiLCIxODk2NTg0NiJdLCJ0IjoiRGluZS1PdXQgUmVzdGF1cmFudHMgaW4gSlAgTmFnYXIifX0=,"1st Cross, Bilekahalli, Near IIMB College, Bannerghatta Road, Bangalore",Angel Restaurant,Yes,No,2.8/5,165,"+91 9035699847
+91 9880714970",Bannerghatta Road,Quick Bites,,"Kerala, South Indian, North Indian",450,"[('Rated 1.0', 'RATED\n  I cannot say a word about the food, since I never tried anything from this place, and IÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92m very sure I never shall.\nHave seen this place, and thought I should share a picture of it, for you to decide.\nMy opinion, it doesnÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92t look hygienic at all, and I think Zomato should have an eligibility baseline for listing restaurants.'), ('Rated 3.0', 'RATED\n  This place is located next to IIM Bangalore, the food is fantastic, the biriyani there is worth a shot.\nAnd their in house speciality is payam pori (banana fritters) and banana cake, fluffiest ever.')]","['Kappa', 'Kappa Biryani', 'Chicken Biryani', 'Beef Biryani', 'Beef Curry', 'Ayala Curry', 'Chicken Kabab', 'Beef Roast', 'Beef Fry', 'Beef Chilly', 'Mathi Fry', 'Beef and Chicken Combo 1', 'Chicken Biryani Combo', 'Beef Biryani', 'Meal Combo', '2 Paratha with Beef Curry Combo', '2 Paratha with Beef Roast Combo', 'Beef and Chicken Combo 1', 'Beef and Chicken Combo 2', 'Beef and Chicken Combo 3', 'Beef and Chicken Combo 4', 'Veg Biryani Combo', 'Chicken Biryani Combo', 'Beef Biryani', 'Meal Combo', 'Kerala Rice Combo', '2 Paratha with Chicken Curry Combo', '2 Paratha with Chicken Kabab [2 Pieces] Combo', '3 Paratha with Chicken Curry Combo', '3 Paratha with Chicken Kabab [2 Pieces] Combo', '2 Paratha with Beef Curry Combo', '2 Paratha with Beef Roast Combo', '3 Paratha with Beef Curry Combo', '3 Paratha with Beef Roast Combo', '2 Appam with Chicken Curry Combo', '2 Appam with Chicken Kabab [2 Pieces] Combo', '3 Appam with Chicken Curry Combo', '3 Appam with Chicken Kabab [2 Pieces] Combo', '2 Appam with Beef Curry Combo', '2 Appam with Beef Roast Combo', '3 Appam with Beef Curry Combo', '3 Appam with Beef Roast Combo', '2 Chapathi with Chicken Curry', '2 Chapathi with Chicken Kabab [2 Pieces]', '3 Chapathi with Chicken Curry ', '3 Chapathi with Chicken Kabab [2 Pieces]', '2 Chapathi with Beef Curry', ' 2 Chapathi with Beef Roast', '3 Chapathi with Beef Curry', '3 Chapathi with Beef Roast', 'Gobi Manchurian Dry', 'Chilly Gobi', 'Mushroom Pepper Dry', 'Paneer Pepper Dry', 'Mushroom Manchurian Dry', 'Mushroom Chilli Dry', 'Mushroom Garlic Dry', 'Omelette', 'Boiled Egg [2 Egg]', 'Egg Burji', 'Chicken Fry', 'Chicken Roast', 'Chicken Chilly', 'Chicken Stew', 'Chicken Kabab', 'Tangdi Kabab', 'Pepper Chicken', 'Pepper Chicken Dry', 'Grilled Chicken', 'Beef Roast', 'Beef Fry', 'Beef Chilly', 'Ayala Fry', 'Karimeen Fry', 'Mathi Fry', 'Neymeen Fry', 'Kili Meen Fry', 'Prawns Fry', 'Prawns Roast', 'Kalmi Kebab', 'Chana Masala', 'Green Peas Masala', 'Veg Curry', 'Mushroom Masala', 'Paneer Masala', 'Veg Kadai', 'Paneer Butter Masala', 'Egg Masala', 'Chicken Curry', 'Beef Sukka', 'Beef Curry', 'Ayala Curry', 'Mathi Curry', 'Parota', 'Chapati', 'Ghee Rice', 'Jeera Rice', 'Puttu', 'Veg Biryani', 'Egg Biryani', 'Kappa Biryani', 'Chicken Biryani', 'Chicken Puttu Biryani', 'Beef Biryani', 'Beef Puttu Biryani', 'Neymeen Biryani', 'Fish Puttu Biryani', 'Prawns Biryani', 'Chicken Chettinad Biriyani', 'Veg Fried Rice', 'Mushroom Fried Rice', 'Gobi Fried Rice', 'Paneer Fried Rice', 'Egg Fried Rice', 'Chicken Fried Rice', 'Appam', 'Plain Dosa', 'Set Dosa', 'Masala Dosa', 'Onion Dosa', 'Kappa', 'Egg Dosa', 'Veg Kothu Parotta', 'Kerala Parotta', 'Wheat Parotta', 'Egg Kothu Parotta', 'Chicken Kothu Parotta', 'Pazham Pori', 'Ragi Cake [1 Piece]', 'Pepsi [250 ml]']",Dine-out,JP Nagar
16711,https://www.zomato.com/bangalore/cafe-talkhouse-hsr-bangalore?context=eyJzZSI6eyJlIjpbIjE4ODA2NzczIiwiMTg4MDY4NDEiLCIxODgwNjgwOCIsIjE4ODA3OTQ3IiwxODc5MzM1OSwiMTg3OTM0MDIiLCIxODgwMTQ0NiIsIjE4ODAyODI0IiwiMTg4MDEwMzgiLCIxODc4NTQ1NyIsIjE4ODg0MTUyIiwiMTg4NzQzMDMiLCIxODg4MTMxNSIsIjE4ODc3NzU4IiwiMTg4ODUxNTAiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEhTUiJ9fQ==,"4rd floor, 7th Cross, Opposite to BMTC Bus Dept, Agara Village, HSR Layout, Bengaluru",Cafe Talkhouse,No,No,3.8/5,23,,HSR,Quick Bites,,North Indian,,"[('Rated 5.0', 'RATED\n  Have been to this place multiple times, very happy that now we can order the food online for home delivery as well.\nHealthy and Great food, it has the feel of homely food and outside royalty. \nDo try out if you are in and around HSR'), ('Rated 4.0', ""RATED\n  New place added in HSR, it's area is small but enough for big gangs to chill around. About food, to be on a safer side I tried bun makkhan, lassi, tea, Maggi and veg grilled sandwich. Well tea was really good, lassi was fine not very good. Sandwich was good in taste, bread was fresh and it contained lots of veggies but was little dry. Maggi was their best item served, it was well garnished, rich is Maggi masala. Bun makkhan was also good. The only drawback is their location, hard to find for outsiders."")]",[],Delivery,HSR
42588,https://www.zomato.com/bangalore/paratha-xpress-ulsoor-bangalore?context=eyJzZSI6eyJlIjpbIjE4MTQ4OTU2IiwiMTgyNDY1MzIiLCIxODYyNjAyMiIsIjU2MjA4IiwxODY3NTg3NCwiNjA4NjYiLCI1MTEwOCIsIjUyMTk5IiwiNTk3MTkiLCI1NjkxMiIsIjU3ODE3IiwiMTg3MDYwNTYiLCIxODg1Mjg3MiIsIjE4NzA3Mzk1IiwiMTgyNDY0OTUiLCIxODY5Mjg3NiIsIjE4MjA4MzU2IiwiMTg2MzE1NTAiLCI1MDg5MSIsIjUxMDI5Il0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBNRyBSb2FkIn19,"17/1 Cambridge Road, Opposite The Frank Antony School, Ulsoor, Bangalore",Paratha Xpress,No,No,3.5 /5,8,065535 07908402366,Ulsoor,Quick Bites,,"North Indian, Chinese",200,"[('Rated 5.0', 'RATED\n  good job!'), ('Rated 5.0', 'RATED\n  This was a beautiful little find in my way home from a long evening walk. Since this place was new I did notice it before. Always love a great paratha.\n\nAmbience: (3/5)\nThis is not the ideal place to sit and leisurely eat. ItÃ\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82ÃÂ¢Ã\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x80Ã\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x99s most of a need based dinning. There are two tables/chairs where one can sit down. The place is kept relatively clean.\n\nFood: (5/5)\nAbsolutely loved the parathas. Firstly many of the Parathas here costs like 50 INR. These are the conventional ones. I got the aloo and the Palak paratha. Both were incredible. Loved first how big each of them were. The stuffing was also generous by the owner. Also loved how it was allowed to cook so well. The flavours were great\n\nSummary: (5/5)\nGreat place to grab a quick bite or ideally a great place to order some fantastic food home. Recommended.'), ('Rated 4.0', 'RATED\n  Perfectly cooked and well stuffed paranthas. Order today! Properly balanced in spices and economical with the oil. Accompanying chutney is a welcome surprise :)'), ('Rated 5.0', ""RATED\n  Delivery was spot on. I had ordered 2 parathas, 1 aloo pyaj and 1 manchurian cheese.. Both the parathas tasted good and totally value for money if you're looking for quick bite which can be fulfilling as well!!"")]",[],Delivery,MG Road
5266,https://www.zomato.com/bangalore/classic-lassi-shop-ulsoor?context=eyJzZSI6eyJlIjpbIjE4NzQ5MTU1IiwiMTg3MTEwNzQiLCIxODgyMDQ3MiIsIjE4NTg4MTEyIiwxODU1NTM0MCwiMTg2ODc3MTgiLCIxODU1MTY4MCIsIjUyMjUzIiwiNTMxMDMiLCIxODY3NjI1MyIsIjUzMjY3IiwiNTMxOTgiLCI1NDc4NCIsIjE4NzQzNDk5IiwiNTA5OTUiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJyaWdhZGUgUm9hZCJ9fQ==,"Skywalk, 5/1, Near Body Craft, Assaye Road, Ulsoor, Bangalore",Classic Lassi Shop,Yes,No,3.5/5,43,"+91 8792958786
+91 8073579529",Ulsoor,Beverage Shop,,"Beverages, Ice Cream",150,"[('Rated 3.0', 'RATED\n  I have mixed feeling about this place. The Delhi style falooda was brilliant, just a treat to my senses. The litchi was average, plain litchi added to vanilla ice cream. The gudbud on the other hand was jus bad ! The DBC was ok, except was the dried grapes added to it( does not go well )'), ('Rated 3.0', 'RATED\n  I ordered kesar faluda and shawarma combo which came with lime juice.\nPacking was fine but combo taste can be improved.\nKesar faluda was proper faluda and tasted delicious.')]","['Fruit Salad with Ice Cream', 'Brownie with Ice Cream', 'Chocolate Fudge Ice Cream', 'Death by Chocolate', 'Kesar Falooda', 'Delhi Style Falooda Gudbud', 'Dry Fruit Lassi', 'Sweet Lassi', 'Banana Lassi', 'Mango Lassi', 'Fruit Lassi', 'Mango Banana Lassi', 'Chocolate Lassi', 'Saffron Lassi', 'Strawberry Lassi', 'Dry Fruit Lassi', 'Belgium Chips', 'Banana Strawberry', 'Hip Hop Butter Scotch', 'Caramel Shake', 'Mango Strawberry', 'Cake Shake', 'Mojito', 'Natural Whey Protein', 'Whey Protein', 'Whey Protein with Egg', 'Fruit Salad with Ice Cream', 'Brownie with Ice Cream', 'Chocolate Fudge Ice Cream', 'Fruit Salad', 'Death by Chocolate', 'Choco Nut Sundae', 'Lychee with Ice Cream', 'Banana Split', 'Death by Chocolate Sizzler', 'Hot Chocolate Fudge', 'Falooda', 'Kesar Falooda', 'Kulfi Falooda', 'Delhi Style Falooda Gudbud', 'Ferrero Rocher Mocktail', 'Belgium Chocolate Mocktail', 'Chocolate Banana Mocktail', 'Vanilla Shake', 'Butterscotch Shake', 'Pista Shake', 'Strawberry Shake', 'Mango Alphonso', 'Mixed Fruit', 'Berry Berry Strawberry', 'Strawberry Smoothie', 'Mango Smoothie', 'Banana Smoothie', 'Orange Smoothie', 'Kiwi Smoothie', 'Hard Rock Cold Coffee', 'Cold Coffee on the Rocks', 'Strawberry Cold Coffee', 'Chocolate Cold Coffee', 'Butterscotch Cold Coffee', 'Mud Coffee', 'Missi Sippi Mud', 'Monte Carlo', 'Body Cooler', 'Banana Milkshake', 'Musk Melon Milkshake', 'Papaya Milkshake', 'Apple Milkshake', 'Pomegranate Milkshake', 'Chikoo Milkshake', 'Dry Fruit Milkshake', 'Lychee Milkshake', 'Lychee Mango Milkshake', 'Pineapple Juice', 'Musk Melon Juice', 'Musambi Juice', 'Apple Juice', 'Pomegrannate Juice', 'Orange Juice', 'Fresh Lime Juice', 'Lime Soda', 'Lime Ginger', 'Mint Lime', 'Blue Lime', 'Red Lime', 'Carrot Ginger Lime']",Delivery,Brigade Road
24663,https://www.zomato.com/bangalore/cad-m-cad-b-banaswadi-bangalore?context=eyJzZSI6eyJlIjpbIjE4NzEyNzcxIiwiMTgyMjQ2NDEiLCI1ODE3MSIsIjE4NzgxMTQzIiwxODQzOTYxOCwiMTg3NjMyOTYiLCIxODYzNzcyNCIsIjE4MzcxMjY0Il0sInQiOiJEZXNzZXJ0cyAmIEJha2VzIGluIEthbHlhbiBOYWdhciJ9fQ==,"663, OMBR Layout, Opposite B Channsandra Bus Stop, Banaswadi, Bangalore",CAD (M) CAD (B),No,No,3.2/5,6,+91 9008577879,Banaswadi,Kiosk,,Street Food,200,"[('Rated 2.0', 'RATED\n  What ever you ask at this place you will get one only one answer - it is not Available. Finally we ordered Oreo shake. Taste was okay. Milkshake was very watery with lot of ice cubes.'), ('Rated 4.5', 'RATED\n  Amazing place for tasty quick bite.... not sure about ingredients but taste was awesome both on CAD m (thick chocolate drink) along with the cheese sandwich... missed an combo and ordered individual items... but combos are worth of money...'), ('Rated 5.0', 'RATED\n  Some really tasty shakes at Cad B Cad M. The place is relatively new and the shakes are absolutely awesome. I went for the oreo cad shake. It took me a while to finish it.')]",[],Desserts,Kalyan Nagar
21824,https://www.zomato.com/bangalore/cross-road-cafe-jayanagar?context=eyJzZSI6eyJlIjpbIjE4MzA0NzU2IiwiMTg1NjYxMjEiLCIxODU1ODQyNCIsIjE4NjAyODY1IiwxODM4Njc3MSwiMTg1MjE2MzEiLCIxODYwNjkxMSIsIjE4OTI0OTA1IiwiMTg0NDcwODgiLCIxODgyNDM0MiIsIjE4NTUzMjkyIiwiNTQ0NTYiLCIxODM3Nzk0MSIsIjE4MzU1MjgyIiwiMTg3NTE5NjgiXSwidCI6IkNhZlx1MDBlOXMgYW5kIERlbGlzIGluIEpQIE5hZ2FyIn19,"671,45th Cross, 8th Block, Near Metro Pillar EP 22, Jayanagar, Bangalore",Cross Road Cafe,Yes,No,3.9/5,91,080 41247022,Jayanagar,Cafe,"Momos, Burgers, Rolls, Sandwich, Hot Chocolate, Tea, Naga Thali","Cafe, Fast Food, Chinese",300,"[('Rated 4.0', 'RATED\n  A very nice place, not very spacious though. The staffs are very jolly & friendly & greet you really well. The food is great and the price is reasonable. A lot of options in the menu. A must visit place.')]",[],Cafes,JP Nagar
23715,https://www.zomato.com/bangalore/joeys-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4MzU1MjgyIiwiMTg0MTI0MTIiLCIxODY4NDQxNSIsIjE4NTYzODc1IiwxODY3NTY0NSwiNTQ2NTQiLCIxODc1MTk2OCIsIjE4NjMxMzc1IiwiMTg1NDcyOTAiLCIxODY4MjkwNyIsIjE4NDIyOTA2IiwiMTg2NzI0NTEiLCIxODM0NjMyMyIsIjE4NjIwNDU0IiwiMTg2OTkyMTciXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIEpQIE5hZ2FyIn19,"28, 7th Main Road, 2nd Stage, BTM, Bangalore",Joey's,No,No,3.7/5,43,+91 9900275325,BTM,Quick Bites,,"Chinese, Fast Food",300,"[('Rated 3.0', ""RATED\n  Ordered white sauce (Fusilli) pasta... Pretty good...This restaurant is so pocket friendly... They give the same quality nearing to any big italian restaurants I'd say... can't wait to order more from them... Also want to give a visit... Improve on veggies used in pasta... You gotta be great soon..."")]",[],Dine-out,JP Nagar
31303,https://www.zomato.com/bangalore/pipabu-koramangala-4th-block?context=eyJzZSI6eyJlIjpbIjE4ODg4NzQ4IiwiMTg4ODE4NjAiLCIxODA0ODI2MiIsIjE4NTM1MDYzIiwxODYxOTYyOCwiMTg3ODU0NDIiLCI1OTMwNCIsIjE4Nzk3MjE5IiwiNTYyMzEiLCIxODcxMTIwMCIsIjE4NjAxNjY2IiwiMTg3NjcwNDUiLCIxODE5ODkwOSIsIjYxMzEwIiwiMTg4MDgzNDMiLCI1OTEwMCIsIjUwMjg5Il0sInQiOiJEaW5lLU91dCBSZXN0YXVyYW50cyBpbiBLb3JhbWFuZ2FsYSA1dGggQmxvY2sifX0=,"418/2, Green Leaf Layout, 80 Feet Road, Koramangala 4th Block, Bangalore",Pipabu,Yes,No,3.8 /5,75,+91 8043707570,Koramangala 4th Block,Casual Dining,"Pasta, Pizza","Continental, Italian, Chinese",750,"[('Rated 2.0', 'RATED\n  Ordered via Swiggy for an Alfredo Veg Pasta.\nThe days I want to relish good pastaÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s, somehow the experiments from new outlets make it a bitter experience.\n\nIt was neatly packed, the garlic breads on the side was bearable.\nThe pasta however was a disaster, it had few veggies, the sauce was just too too bad, I dont even know how to express the grief!\nMilky?\nErrn, I really donÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92t know what they were thinking or if this is their unique white sauce, whichever be it, itÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s horrible, period.'), ('Rated 5.0', ""RATED\n  I ordered one veg farfalle pasta in creamy Alfredo sauce. I had particularly instructed them not to add broccoli and to make the pasta creamy which they took care of. The garlic bread that came along with it was cold and chewy but never mind, because the pasta was really yummy and the quantity was perfect for me. The packaging was also done beautifully. Midnight cravings become crazy for me and at times I don't get the kind of food I expect. But I'd recommend Pipabu because I feel that's very unlikely to happen, especially if one orders pasta. Thank you for the food.""), ('Rated 4.0', 'RATED\n  I ordered for a take away from swiggy, ordered for fried ride and garlic chicken combo, taste was impeccable and had 6 pieces of chicken which great value for money, I would have given 5 star if they served more rice, had a very very very small portion of rice, not sure if thatÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s the portion or the guys made a mistake, love the taste but sadly was hungry in 1hr after lunch'), ('Rated 5.0', ""RATED\n  I've never been to Pipabu but I have ordered food from here on 2 occasions.\n\nI have tried the pesto pasta veg (creamy, yet with a wonderful flavour of basil, served with toasted garlic bread) and Manchurian mushroom rice bowl (yummy AF - the fried rice, Manchurian bits and gravy are stored separately so that they don't mix - genius!). The quantity served is a lot and the food is very tasty here. Can't wait to actually go to Pipabu and try out the food!!"")]",[],Dine-out,Koramangala 5th Block
10675,https://www.zomato.com/bangalore/al-habibi-restaurant-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4MjAyOTg4IiwiMTg1OTQ1NzMiLCIxODYwOTE5OSIsIjUyOTI5IiwxODY1MDMyNiwiMTg2NjU0MDEiLCIxODc2MzkzNyIsIjE4NzU2NDI1IiwiMTg5MDQ1NzAiLCIxODY3MDU5NiIsIjE4NDU5MTgxIiwiMTg0NDMwNzQiLCIxODYwNjQzMCIsIjU3MDIyIiwiMTg2NzEwNjMiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIEJUTSJ9fQ==,"Narayan Gowda Layout, 1st Stage, BTM, Bangalore",Al Habibi Restaurant,Yes,No,3.5/5,17,+91 9611118091,BTM,Quick Bites,,"North Indian, Chinese",300,"[('Rated 1.0', 'RATED\n  First chowmein where I got cashew and color is yellow of Singaporean noodles\nHalf star for it'), ('Rated 5.0', 'RATED\n  Superb food and great staffs. Parathas roti great. Tried both the Chinese and Indian delicacy. Good ambience and also value for money. Try the basket roti and al habibi chicken special.'), ('Rated 5.0', 'RATED\n  The Best Biryani ever in Bangalore. I ordered on zomato and I was never expected that great taste. Thanks Al Habibi. Wishes next time again will get same taste.'), ('Rated 2.0', 'RATED\n  we order for gravy , they have delivered chicken fry'), ('Rated 1.0', 'RATED\n  not that good taste'), ('Rated 5.0', 'RATED\n  Nice response to customer'), ('Rated 5.0', 'RATED\n  delivery on time and good he found my place')]","['Jeera Rice', 'Paneer Butter Masala', 'Boneless Butter Chicken', 'Butter Roti', 'Chicken Fried Rice', 'Veg Manchow Soup', 'Veg Chowder Soup', 'Crean of Tomato Soup', 'Palak Soup', 'Talumein Soup', 'Hot and Sour Soup', 'Al Habibi Soup', 'Chicken Shorba', 'Chicken Chowder Soup', 'Chicken Lung Fung Soup', 'Chicken Manchow Soup', 'Chicken Sweet Corn Soup', 'Chicken Lemon Coriander Soup', 'Chicken Hot and Sour Soup', 'Hariyali Paneer Tikka', 'Achari Paneer Tikka', 'Paneer Tikka', 'Veg Seekh Kebab', 'Afghani Chicken', 'Achari Chicken Tikka [6 Pieces]', 'Chicken Seekh Kebab', 'Chicken Tikka Kebab [6 Pieces]', 'Hariyali Pahadi Kebab [6 Pieces]', 'Kalmi Kebab', 'Lasooni Kebab [6 Pieces]', 'Malai Kebab [6 Pieces]', 'Sholay Kebab [6 Pieces]', 'Tangdi Kebab [2 Pieces]', 'Roozwani Kebab', 'Al Habibi Mumtaz Tangdi Kebab', 'Tandoori Platter', 'Dal Fry', 'Dal Tadka', 'Dal Makhani', 'Dal Palak', 'Aloo Gobi', 'Veg Kadhai', 'Veg Kolhapuri', 'Veg Jamila', 'Veg Lazeez', 'Chilli Milli', 'Kadhai Paneer', 'Kaju Masala', 'Matar Paneer', 'Mix Veg', 'Palak Paneer', 'Paneer Amritsari', 'Paneer Butter Masala', 'Paneer Chingari', 'Paneer Lababdar', 'Paneer Lazeez', 'Paneer Tikka Masala', 'Al Habibi Paneer Special', 'Boneless Butter Chicken', 'Murgh Mussalam', 'Chicken Masala', 'Chicken Hyderabadi', 'Chicken Kolhapuri', 'Chicken Methi Malai', 'Chicken Patiala', 'Chicken Rajdhani', 'Chicken Tikka Masala', 'Kadhai Chicken', 'Pepper Chicken Masala', 'Oil Fried Kebab [8 Pieces]', 'Al Habibi Chicken Special Rada', 'Plain Roti', 'Plain Naan', 'Butter Naan', 'Butter Roti', 'Butter Kulcha', 'Aloo Paratha', 'Laccha Paratha', 'Garlic Naan', 'Basket Roti', 'Biryani Rice', 'Veg Biryani', 'Veg Pulao', 'Ghee Rice with Kaju', 'Jeera Rice', 'Plain Rice', 'Steamed Rice', 'Egg Biryani', 'Veg Fried Rice', 'Veg Noodles', 'Singapore Veg Fried Rice', 'Singapore Veg Noodles', 'Hong Kong Veg Fried Rice', 'Hong Kong Veg Noodles', 'Schezwan Veg Fried Rice', 'Schezwan Veg Fried Noodles', 'Triple Veg Fried Rice', 'Triple Veg Noodles', 'Egg Fried Rice', 'Egg Noodles', 'Schezwan Egg Fried Rice', 'Schezwan Egg Noodles', 'Chicken Fried Rice', 'Chicken Noodles', 'Singapore Chicken Fried Rice', 'Singapore Chicken Noodles', 'Hong Kong Chicken Fried Rice', 'Hong Kong Chicken Noodles', 'Schezwan Chicken Fried Rice', 'Schezwan Chicken Noodles', 'Triple Chicken Fried Rice', 'Triple Chicken Noodles', 'Baby Corn Crispy', 'Gobi Manchurian', 'Paneer Chilli', 'Veg Crispy', 'Veg Honey Chilli Potato', 'Veg Manchurian', 'Veg Cheese Pothali', 'Veg Season Finger', 'Egg Chilli', 'Chicken 65', 'Chicken Butter Garlic', 'Chicken Chilli', 'Chicken Chowder', 'Chicken Crispy', 'Chicken Dragon', 'Chicken Lollipop Dry', 'Chicken Lollipop Gravy', 'Chicken Hot Garlic', 'Chicken Satay', 'Stick Chicken', 'Lemon Chicken', 'Special Al Habibi Chicken Magnet', 'Fry Papad', 'Roasted Papad', 'Masala Papad', 'Mix Raita', 'Onion Salad', 'Green Cucumber Salad', 'Green Mixed Salad', 'Mineral Water [1 litre]', 'Lemon Juice', 'Lemon Soda', 'Sharbat', 'Lassi', 'Mango Lassi', 'Strawberry Lassi', 'Al Habibi Special Lassi']",Dine-out,BTM
